host_exe,proxy_dll,id,section,file_off,rva,va,orig_len,patch_len,orig_bytes,patch_bytes,semantic,verify
项目BNxMain.exe,sentry.dll,nxmain_ad_gate_member_remove_ad_ok_bypass,,1224099,1227171,5369936291,6,6,0f 84 b9 01 00 00,90 90 90 90 90 90,广告剥离闸门：VIP 标志为 0 时跳过 member_remove_ad_ok 信号发射，NOP 后强制始终发射（抑制启动图广告/侧边推荐）,OK
项目BNxMain.exe,sentry.dll,nxmain_skip_trial_banner_flow,,13563359,13566431,5382275551,6,6,0f 8e ed 00 00 00,e9 ee 00 00 00 90,试用/营销 Banner 流程分支：jle +0xed 改为无条件 jmp，跳过试用引导与购买弹窗创建,OK
项目BNxMain.exe,sentry.dll,nxmain_resp_expiry_2099_12_31,,13734010,13737082,5382446202,5,5,e8 28 42 31 ff,b8 7f e6 85 f4,网络响应：到期时间固定为 2099-12-31 (0xF485E67F),OK
项目BNxMain.exe,sentry.dll,nxmain_resp_member_status_enabled,,13734158,13737230,5382446350,5,5,e8 8e 9f 2e ff,b8 01 00 00 00,网络响应：会员状态置为 1,OK
项目BNxMain.exe,sentry.dll,nxmain_resp_member_type_vip,,13734298,13737370,5382446490,5,5,e8 02 9f 2e ff,b8 01 00 00 00,网络响应：会员类型置为 VIP(1),OK
项目BNxMain.exe,sentry.dll,nxmain_resp_device_count_5,,13734437,13737509,5382446629,5,5,e8 77 9e 2e ff,b8 05 00 00 00,网络响应：可用设备数置为 5,OK
项目BNxMain.exe,sentry.dll,nxmain_resp_trial_status_used,,13734868,13737940,5382447060,5,5,e8 c8 9c 2e ff,b8 02 00 00 00,网络响应：试用状态置为 2（已使用/非活动，抑制试用提示）,OK
项目BNxMain.exe,sentry.dll,nxmain_resp_privilege_enable,,13735622,13738694,5382447814,5,5,e8 d6 99 2e ff,b8 01 00 00 00,网络响应：当前设备特权使能置为 1,OK
项目BNxMain.exe,sentry.dll,nxmain_parse_a_device_member_enabled,,17326014,17329086,5386038206,5,5,e8 de d0 f7 fe,b8 01 00 00 00,缓存解析 A：当前设备会员权益置为 1,OK
项目BNxMain.exe,sentry.dll,nxmain_parse_a_expiry_2099_12_31,,17326360,17329432,5386038552,5,5,e8 8a 71 fa fe,b8 7f e6 85 f4,缓存解析 A：到期时间固定为 2099-12-31,OK
项目BNxMain.exe,sentry.dll,nxmain_parse_a_member_status_enabled,,17326459,17329531,5386038651,5,5,e8 21 cf f7 fe,b8 01 00 00 00,缓存解析 A：会员状态置为 1,OK
